year,number_of_Helens
2021,664
2020,678
2019,711
2018,710
2017,734
2016,781
2015,724
2014,764
2013,695
2012,734
2011,689
2010,667
2009,797
2008,857
2007,917
2006,914
2005,934
2004,839
2003,745
2002,844
2001,851
2000,860
1999,797
1998,805
1997,770
1996,862
1995,793
1994,815
1993,839
1992,797
1991,731
1990,828
1989,840
1988,728
1987,776
1986,730
1985,778
1984,821
1983,809
1982,845
1981,856
1980,891
1979,844
1978,891
1977,967
1976,923
1975,1044
1974,1117
1973,1106
1972,1222
1971,1416
1970,1702
1969,1839
1968,1860
1967,2144
1966,2438
1965,2790
1964,3099
1963,3335
1962,3583
1961,3857
1960,4068
1959,4371
1958,4770
1957,5016
1956,5277
1955,5592
1954,5947
1953,6120
1952,6465
1951,6950
1950,7059
1949,7706
1948,8302
1947,8979
1946,8851
1945,8301
1944,8696
1943,9797
1942,10021
1941,9903
1940,10201
1939,10424
1938,10848
1937,11470
1936,12247
1935,12800
1934,14108
1933,14663
1932,16397
1931,17675
1930,19944
1929,20994
1928,22976
1927,25368
1926,26911
1925,29198
1924,31228
1923,31504
1922,32523
1921,34839
1920,35113
1919,33715
1918,36184
1917,34267
1916,32695
1915,30883
1914,23235
1913,18898
1912,16143
1911,11811
1910,10484
